Host Total Listings Count,Neighbourhood,Neighbourhood Cleansed,Neighbourhood Group Cleansed,City,State,Zipcode,Market,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Square Feet,Price,Security Deposit,Cleaning Fee,Guests Included,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy
1.0,Puente de Vallecas,75,12,0,Comunidad de Madrid,28038,2,0,1,1,1.0,1.0,1.0,4,,25.0,,10.0,1,1,1125,0,0,0,0,0,,,,,,,,2
1.0,Puente de Vallecas,75,12,0,Comunidad de Madrid,28038,2,15,1,1,1.0,1.0,1.0,4,,22.0,90.0,,1,1,10,0,0,0,0,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,,75,12,0,Community of Madrid,,2,0,0,8,1.0,3.0,3.0,4,,85.0,150.0,50.0,4,2,1125,5,31,61,151,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,,14,10,0,Comunidad de Madrid,28023,2,0,0,2,1.0,1.0,1.0,4,,42.0,,10.0,1,4,1125,5,35,65,66,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,Aluche,43,9,0,Comunidad de Madrid,28019,2,8,0,4,2.0,2.0,4.0,4,,35.0,150.0,15.0,2,4,60,9,24,51,51,13,92.0,9.0,9.0,9.0,10.0,9.0,10.0,1
11.0,,95,9,0,Comunidad de Madrid,28011,2,0,1,1,1.0,1.0,1.0,4,,12.0,,,1,4,10,30,60,90,365,4,75.0,8.0,6.0,8.0,9.0,7.0,8.0,2
9.0,Aluche,95,9,0,Madrid,28011,2,0,1,6,2.0,1.0,8.0,4,0.0,20.0,,12.0,1,2,730,10,40,70,345,31,84.0,9.0,8.0,9.0,9.0,9.0,8.0,1
7.0,Aluche,95,9,0,Comunidad de Madrid,28011,2,0,0,2,1.0,0.0,1.0,4,,49.0,100.0,20.0,1,1,1125,9,26,56,331,5,92.0,9.0,10.0,10.0,10.0,9.0,10.0,2
1.0,Aluche,95,9,0,Comunidad de Madrid,28011,2,0,0,7,1.0,2.0,4.0,4,,100.0,100.0,30.0,4,2,500,10,35,57,330,11,96.0,10.0,10.0,10.0,10.0,9.0,9.0,2
1.0,Aluche,95,9,0,Community of Madrid,28011,2,0,0,2,1.0,1.0,1.0,4,,42.0,,20.0,1,3,1125,0,5,35,310,21,84.0,8.0,9.0,10.0,9.0,9.0,9.0,2
2.0,Aluche,95,9,0,Comunidad de Madrid,28011,2,0,0,4,1.0,1.0,1.0,4,,50.0,100.0,25.0,3,2,1125,6,10,35,35,33,87.0,9.0,9.0,9.0,9.0,8.0,9.0,1
1.0,Aluche,95,9,0,Comunidad de Madrid,28011,2,0,0,4,1.0,2.0,2.0,4,,50.0,,12.0,3,2,1125,0,0,0,192,5,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1
8.0,Aluche,95,9,0,Community of Madrid,28011,2,0,0,3,1.0,2.0,2.0,4,,43.0,76.0,40.0,2,2,200,0,0,6,38,49,92.0,9.0,9.0,10.0,9.0,8.0,9.0,2
2.0,Aluche,68,9,0,Madrid,28011,2,9,1,2,1.0,1.0,1.0,4,43.0,50.0,,,1,1,1125,30,60,90,365,0,,,,,,,,0
11.0,Aluche,9,9,0,Comunidad de Madrid,28025,2,0,2,1,1.0,1.0,8.0,4,,10.0,,5.0,1,3,1125,13,43,67,163,6,93.0,10.0,10.0,10.0,10.0,9.0,10.0,1
1.0,,9,9,0,Community of Madrid,,2,1,1,2,1.0,1.0,1.0,4,,28.0,,,1,2,3,7,7,7,7,0,,,,,,,,0
3.0,Carabanchel,106,2,0,Madrid,28019,2,0,1,2,0.0,1.0,2.0,4,,25.0,,5.0,1,4,30,15,45,57,119,66,87.0,9.0,9.0,9.0,9.0,8.0,9.0,2
15.0,,106,2,0,Community of Madrid,28019,2,0,1,2,1.0,1.0,1.0,4,,45.0,88.0,30.0,1,2,5,30,60,90,365,0,,,,,,,,2
1.0,Carabanchel,106,2,0,Comunidad de Madrid,28019,2,0,1,2,1.0,1.0,1.0,4,,25.0,100.0,10.0,1,3,1125,29,59,89,90,0,,,,,,,,1
2.0,,22,9,0,Comunidad de Madrid,28024,2,0,0,4,1.0,2.0,3.0,4,,60.0,100.0,30.0,2,2,60,3,14,23,281,34,95.0,10.0,10.0,10.0,10.0,8.0,9.0,2
1.0,,22,9,0,Comunidad de Madrid,28024,2,0,1,2,1.0,1.0,1.0,4,,18.0,,,1,2,1125,15,40,40,219,31,89.0,10.0,10.0,9.0,9.0,8.0,9.0,1
2.0,Aluche,42,9,0,Comunidad de Madrid,28044,2,14,1,2,1.0,2.0,2.0,4,,18.0,,,1,1,1125,0,18,48,323,2,100.0,10.0,9.0,10.0,10.0,8.0,10.0,0
1.0,Aluche,4,9,0,Community of Madrid,28044,2,18,1,2,1.0,1.0,1.0,4,646.0,25.0,100.0,9.0,1,1,1125,30,60,90,365,13,91.0,9.0,9.0,9.0,9.0,9.0,9.0,0
2.0,,36,2,0,Comunidad de Madrid,28019,2,0,1,2,0.0,1.0,2.0,4,,25.0,,20.0,1,2,31,28,58,88,363,0,,,,,,,,1
1.0,,123,2,0,Comunidad de Madrid,28025,2,0,0,4,1.0,3.0,3.0,4,,50.0,150.0,40.0,2,3,720,0,0,0,0,26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
8.0,,67,20,0,Comunidad de Madrid,28021,2,0,2,2,1.0,1.0,1.0,4,,14.0,,,1,1,1125,16,39,58,331,30,91.0,9.0,9.0,10.0,10.0,8.0,9.0,2
1.0,,27,19,0,Comunidad de Madrid,28031,2,0,0,2,1.0,1.0,1.0,4,,50.0,100.0,20.0,1,1,3,19,49,79,79,7,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0
1.0,Vicálvaro,28,18,0,Comunidad de Madrid,28032,2,0,1,1,1.0,1.0,1.0,4,,20.0,350.0,10.0,1,1,1125,0,0,0,0,0,,,,,,,,0
13.0,San Blas,110,15,0,Comunidad de Madrid,28037,2,0,0,4,1.0,0.0,1.0,4,,55.0,250.0,20.0,2,1,1125,15,40,64,334,5,100.0,10.0,10.0,10.0,10.0,9.0,10.0,2
1.0,,110,15,0,Comunidad de Madrid,28037,2,0,1,1,1.0,1.0,1.0,4,,13.0,,,1,1,1125,21,51,81,356,0,,,,,,,,0
1.0,,5,1,0,Community of Madrid,28042,2,2,1,10,,1.0,,4,,100.0,,,1,3,1125,30,60,90,365,0,,,,,,,,2
2.0,,3,1,0,Community of Madrid,,2,14,1,2,1.0,1.0,1.0,4,,38.0,,8.0,1,1,1125,25,55,85,85,3,87.0,9.0,9.0,9.0,10.0,9.0,9.0,0
15.0,Barajas,26,1,0,Comunidad de Madrid,28042,2,0,1,1,0.5,1.0,1.0,4,,45.0,,,1,1,1125,0,0,0,158,32,90.0,9.0,10.0,10.0,10.0,9.0,9.0,0
1.0,Ciudad Lineal,121,6,0,Comunidad de Madrid,28017,2,16,1,2,1.0,1.0,1.0,4,,25.0,,10.0,1,1,30,29,49,59,332,6,93.0,10.0,9.0,10.0,10.0,9.0,9.0,1
1.0,Ciudad Lineal,121,6,0,Comunidad de Madrid,28017,2,0,1,1,1.0,1.0,1.0,4,,20.0,,,1,1,1125,0,0,0,0,0,,,,,,,,0
1.0,,121,6,0,Community of Madrid,,2,14,0,5,1.0,3.0,4.0,4,,49.0,,,1,2,1125,0,0,9,9,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,Ciudad Lineal,121,6,0,Comunidad de Madrid,28017,2,0,1,1,1.0,1.0,1.0,4,,16.0,,,1,1,30,7,37,67,342,7,94.0,10.0,9.0,10.0,10.0,10.0,10.0,0
1.0,Ciudad Lineal,93,6,0,Comunidad de Madrid,28017,2,0,1,2,1.0,1.0,1.0,4,,25.0,,5.0,1,1,10,0,0,0,0,0,,,,,,,,2
1.0,Ciudad Lineal,96,6,0,Comunidad de Madrid,28027,2,0,0,4,1.0,2.0,3.0,4,,60.0,100.0,,3,2,60,0,0,0,0,15,87.0,9.0,9.0,10.0,10.0,9.0,9.0,0
2.0,,96,6,0,Comunidad de Madrid,28027,2,0,0,4,1.0,3.0,4.0,4,,60.0,150.0,30.0,1,5,30,7,19,49,49,6,93.0,9.0,9.0,10.0,9.0,8.0,9.0,0
1.0,Ciudad Lineal,37,6,0,Comunidad de Madrid,28027,2,0,1,2,1.0,1.0,1.0,4,,19.0,,10.0,1,2,1125,18,48,72,72,4,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0
1.0,Ciudad Lineal,37,6,0,Comunidad de Madrid,28027,2,0,0,4,1.0,0.0,1.0,4,,47.0,100.0,25.0,1,3,1125,11,12,12,12,14,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0
1.0,,37,6,0,Comunidad de Madrid,28027,2,0,1,1,1.0,1.0,1.0,4,,11.0,,,1,1,1,0,0,0,0,0,,,,,,,,0
5.0,,37,6,0,Comunidad de Madrid,28027,2,0,1,1,0.5,1.0,1.0,4,,60.0,,,1,1,1125,30,60,90,365,0,,,,,,,,0
1.0,Ciudad Lineal,37,6,0,Comunidad de Madrid,28027,2,0,1,1,1.0,1.0,1.0,4,,18.0,,5.0,1,1,1125,0,0,0,0,0,,,,,,,,0
2.0,,37,6,0,Comunidad de Madrid,28027,2,14,1,1,3.0,1.0,1.0,4,,30.0,,,1,7,365,30,60,90,365,27,80.0,8.0,8.0,9.0,9.0,9.0,8.0,1
1.0,Ciudad Lineal,107,6,0,Madrid,28043,2,0,0,4,2.0,3.0,4.0,4,,75.0,,30.0,1,7,1125,2,29,52,304,17,83.0,8.0,8.0,8.0,9.0,8.0,8.0,2
6.0,Ciudad Lineal,107,6,0,Comunidad de Madrid,28043,2,0,0,4,1.0,3.0,4.0,4,,90.0,200.0,40.0,4,1,1125,23,48,78,78,16,91.0,10.0,10.0,9.0,10.0,9.0,9.0,0
2.0,Ciudad Lineal,40,6,0,Comunidad de Madrid,28033,2,1,1,1,1.0,1.0,1.0,4,,29.0,,,1,2,1125,30,60,90,365,0,,,,,,,,0
5.0,Hortaleza,81,8,0,Comunidad de Madrid,28042,2,12,1,4,1.0,1.0,4.0,4,,65.0,,,1,1,1125,21,50,77,345,11,100.0,10.0,10.0,9.0,10.0,9.0,10.0,0
2.0,,88,8,0,Comunidad de Madrid,28033,2,0,2,2,1.0,1.0,1.0,4,,15.0,,,1,1,1125,0,0,0,189,8,88.0,9.0,9.0,9.0,9.0,8.0,9.0,0
1.0,Hortaleza,88,8,0,Comunidad de Madrid,28043,2,0,0,6,2.0,2.0,3.0,4,,89.0,200.0,45.0,1,1,7,3,8,30,121,0,,,,,,,,1
